propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,12542400
Multistorey Apartment,Unfurnished,2.0,South - East,2,Patna,1238.0,3,2,11436000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,4,4,18083300
Multistorey Apartment,Unfurnished,2.0,East,6,Patna,700.0,2,2,5460000
Multistorey Apartment,Unfurnished,1.0,East,3,Patna,1350.0,3,2,9000000
Multistorey Apartment,Unfurnished,1.0,Unknown,4,Patna,1200.0,3,2,6500000
Multistorey Apartment,Unfurnished,5.0,West,6,Patna,364.0,1,1,3000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,3,7155000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7100000
Multistorey Apartment,Semi-Furnished,5.0,East,6,Patna,1020.0,3,2,6745000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,6025000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,4,3,12100000
Multistorey Apartment,Semi-Furnished,3.0,East,7,Patna,1375.0,3,2,8250000
Multistorey Apartment,Unfurnished,2.0,North - East,4,Patna,1000.0,3,2,8365500
Multistorey Apartment,Semi-Furnished,2.0,South,4,Patna,1000.0,3,3,15000000
Multistorey Apartment,Unfurnished,1.0,Unknown,3,Patna,1000.0,3,2,6500000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5992000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,8477500
Multistorey Apartment,Unfurnished,2.0,East,5,Patna,1000.0,2,2,6850000
Multistorey Apartment,Unfurnished,1.0,West,4,Patna,1250.0,3,3,13200000
Multistorey Apartment,Unfurnished,5.0,North,5,Patna,1000.0,2,2,4900000
Multistorey Apartment,Unfurnished,5.0,East,6,Patna,950.0,3,2,7803600
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,4276000
